,DOI,abbrev,auths,titl,yr
5728,10.1016/j.socscimed.2011.12.040_bib53,May (1987),May,Transmission dynamics of HIV infection,1987
5729,10.1016/j.socscimed.2011.12.040_bib54,Mehta (2006),Mehta,"HIV incidence among injection drug users in Baltimore, Maryland (1988–2004)",2006
5730,10.1016/j.socscimed.2011.12.040_bib55,Millstein (1995),Millstein,Sexually-transmitted disease in female adolescents: effects of psychosocial factors and high risk behaviors,1995
5731,10.1016/j.socscimed.2011.12.040_bib56,Morris (1997),Morris,Concurrent partnerships and the spread of HIV,1997
5732,10.1016/j.socscimed.2011.12.040_bib57,Nandi (2010),Nandi,Neighborhood poverty and injection cessation in a sample of injection drug users,2010
5733,10.1016/j.socscimed.2011.12.040_bib58,National Center for Health Statistics (2010),National Center for Health Statistics,"{'key': '10.1016/j.socscimed.2011.12.040_bib58', 'author': 'National Center for Health Statistics', 'year': '2010', 'series-title': 'Health, United States, 2009: With special feature on medical technology'}",2010
5734,10.1016/j.socscimed.2011.12.040_bib59,Nelson (2007),Nelson,Measuring sex partner concurrency: it’s what’s missing that counts,2007
5735,10.1016/j.socscimed.2011.12.040_bib60,Newman (2002),Newman,Spread of epidemic disease on networks,2002
5736,10.1016/j.socscimed.2011.12.040_bib61,Olsen (1973),Olsen,Epidemiological measures against gonorrhea experience in Greenland,1973
5737,10.1016/j.socscimed.2011.12.040_bib62,Over (1996),Over,Human immunodeficiency virus infection and other sexually transmitted diseases in developing countries: public health importance and priorities for resource allocation,1996
5738,10.1016/j.socscimed.2011.12.040_bib63,Potterat (1992),Potterat,‘Socio-geographic space’ and sexually transmissible diseases in the 1990s,1992
5739,10.1016/j.socscimed.2011.12.040_bib64,Potterat (1985),Potterat,Gonorrhea as a social disease,1985
5740,10.1016/j.socscimed.2011.12.040_bib65,Potterat (1983),Potterat,Women contacts of men with gonorrhea: case-finding yields,1983
5741,10.1016/j.socscimed.2011.12.040_bib66,Potterat (1999),Potterat,"Chlamydia transmission: concurrency, reproduction number, and the epidemic trajectory",1999
5742,10.1016/j.socscimed.2011.12.040_bib67,Ratner (1993),Ratner,"{'key': '10.1016/j.socscimed.2011.12.040_bib67', 'author': 'Ratner', 'year': '1993', 'series-title': 'Crack pipe as pimp: An ethnographic investigation of sex-for-crack exchanges'}",1993
5743,10.1016/j.socscimed.2011.12.040_bib68,Raudenbush (2004),Raudenbush,"{'key': '10.1016/j.socscimed.2011.12.040_bib68', 'author': 'Raudenbush', 'year': '2004', 'series-title': 'HLM 6: Hierarchical linear and nonlinear modeling'}",2004
5744,10.1016/j.socscimed.2011.12.040_bib70,Rengert (1996),Rengert,"{'key': '10.1016/j.socscimed.2011.12.040_bib70', 'author': 'Rengert', 'year': '1996', 'series-title': 'The geography of illegal drugs'}",1996
5745,10.1016/j.socscimed.2011.12.040_bib69,Rengert (2000),Rengert,A geographic analysis of illegal drug markets,2000
5746,10.1016/j.socscimed.2011.12.040_bib71,Reuter (1992),Reuter,Street drug markets in inner-city neighborhoods,1992
5747,10.1016/j.socscimed.2011.12.040_bib72,Rice (1991),Rice,Sociodemographic distribution of gonorrhea incidence: implications for prevention and behavioral research,1991
5748,10.1016/j.socscimed.2011.12.040_bib73,Rodriguez (1900),Rodriguez,"{'key': '10.1016/j.socscimed.2011.12.040_bib73', 'author': 'Rodriguez'}",1900
5749,10.1016/j.socscimed.2011.12.040_bib74,Rompalo (2001),Rompalo,Evaluation of use of a single intravaginal swab to detect multiple sexually transmitted infections in active-duty military women,2001
5750,10.1016/j.socscimed.2011.12.040_bib75,Rosenthal (1995),Rosenthal,Strategies for coping with sexually transmitted diseases by adolescent females,1995
5751,10.1016/j.socscimed.2011.12.040_bib76,Rothenberg (2007),Rothenberg,The Atlanta urban adolescent network study: a network view of STD prevalence,2007
5752,10.1016/j.socscimed.2011.12.040_bib77,Rothenberg (1983),Rothenberg,The clinical diagnosis of urethral discharge,1983
5753,10.1016/j.socscimed.2011.12.040_bib78,Saxe (2001),Saxe,The visibility of illicit drugs: implications for community-based drug control strategies,2001
5754,10.1016/j.socscimed.2011.12.040_bib79,Shrier (2001),Shrier,"Associations of depression, self-esteem, and substance use with sexual risk among adolescents",2001
5755,10.1016/j.socscimed.2011.12.040_bib80,Simon (1997),Simon,"{'key': '10.1016/j.socscimed.2011.12.040_bib80', 'author': 'Simon', 'year': '1997', 'series-title': 'The corner: A year in the life of an inner-city neighborhood'}",1997
5756,10.1016/j.socscimed.2011.12.040_bib81,Spelman (1993),Spelman,Abandoned building: magnets for crime,1993
5757,10.1016/j.socscimed.2011.12.040_bib82,Substance Abuse and Mental Health Services Administration (2010),Substance Abuse and Mental Health Services Administration,Results from the 2009 national survey on drug use and health,2010
5758,10.1016/j.socscimed.2011.12.040_bib83,Thomas (2003),Thomas,"Social structure, race, and gonorrhea rates in the southeastern united states",2003
5759,10.1016/j.socscimed.2011.12.040_bib84,Thomas (1996),Thomas,The development and use of the concept of a sexually transmitted disease core,1996
5760,10.1016/j.socscimed.2011.12.040_bib85,Tonry (1995),Tonry,"{'key': '10.1016/j.socscimed.2011.12.040_bib85', 'author': 'Tonry', 'year': '1995', 'series-title': 'Malign neglect – Race, crime and punishment in America'}",1995
5761,10.1016/j.socscimed.2011.12.040_bib87,United States National Drug Intelligence Center (2003),United States National Drug Intelligence Center,"{'key': '10.1016/j.socscimed.2011.12.040_bib87', 'author': 'United States National Drug Intelligence Center', 'year': '2003', 'series-title': 'Heroin in the northeast'}",2003
5762,10.1016/j.socscimed.2011.12.040_bib86, (1900),U.S. Census Bureau,"{'key': '10.1016/j.socscimed.2011.12.040_bib86', 'author': 'U.S. Census Bureau'}",1900
5763,10.1016/j.socscimed.2011.12.040_bib88,Vlahov (1991),Vlahov,"The ALIVE study, a longitudinal study of HIV-1 infection in intravenous drug users: description of methods and characteristics of participants",1991
5764,10.1016/j.socscimed.2011.12.040_bib89,Warner (2003),Warner,Neighborhood drug arrest rates: are they a meaningful indicator of drug activity? A research note,2003
5765,10.1016/j.socscimed.2011.12.040_bib90,Watts (1992),Watts,The influence of concurrent partnerships on the dynamics of HIV/AIDS,1992
5766,10.1016/j.socscimed.2011.12.040_bib91,Weisburd (1994),Weisburd,Defining the street-level drug market,1994
5767,10.1016/j.socscimed.2011.12.040_bib92,Woodhouse (1985),Woodhouse,A civilian-military partnership to reduce the incidence of gonorrhea,1985
5768,10.1016/j.socscimed.2011.12.040_bib93,Word (1997),Word,Background to crack cocaine addiction and HIV high-risk behavior: the next epidemic,1997
5769,10.1016/j.socscimed.2011.12.040_bib94,Zenilman (1988),Zenilman,"Penicillinase-producing neisseria gonorrhoeae in Dade County, Florida: evidence of core-group transmitters and the impact of illicit antibiotics",1988
5770,10.1093/cid/cis266,Manikonda K et al (2012),"Manikonda K., Palmer A., Wymore K., McMillian M., Nicholson C., Hurd S., Hoefer D., Tobin-D'Angelo M., Cosgrove S., Lyons C., Lathrop S., Hedican E., Patrick M.",Validating deaths reported in the foodborne diseases active surveillance network (FoodNet): Are all deaths being captured?,2012
5771,"key
				20171013235535_bib1",Scallan (2011),Scallan,Foodborne illness acquired in the United States—major pathogens,2011
5772,"key
				20171013235535_bib2",Allos (2004),Allos,Surveillance for sporadic foodborne disease in the 21st century: the FoodNet perspective,2004
5773,"key
				20171013235535_bib3",Centers for Disease Control and Prevention (2011),Centers for Disease Control and Prevention,"Vital signs: incidence and trends of infection with pathogens transmitted commonly through food—Foodborne Diseases Active Surveillance Network, 10 U.S. sites, 1996–2010",2011
5774,"key
				20171013235535_bib4",Kennedy (2004),Kennedy,"Hospitalizations and deaths due to Salmonella infections, FoodNet, 1996–1999",2004
5775,10.1093/cid/cis243,Newton A et al (2012),"Newton A., Kendall M., Vugia D.J., Henao O.L., Mahon B.E.","Increasing rates of vibriosis in the United States, 1996-2010: Review of surveillance data from 2 systems",2012
5776,"key
				20171013234452_bib1",Austin (2009),Austin,Vibrios as causal agents of zoonoses,2009
5777,"key
				20171013234452_bib2",Altekruse (2000),Altekruse,Vibrio gastroenteritis in the US Gulf of Mexico region: the role of raw oysters,2000
5778,"key
				20171013234452_bib3",Dechet (2008),Dechet,"Nonfoodborne Vibrio infections: an important cause of morbidity and mortality in the United States, 1997–2006",2008
5779,"key
				20171013234452_bib4",Pickering (2009),Pickering,American Academy of Pediatrics. Other vibrio infections. In:,2009
5780,"key
				20171013234452_bib5",Horseman (2010),Horseman,A comprehensive review of Vibrio vulnificus: an important cause of severe sepsis and skin and soft-tissue infection,2010
5781,"key
				20171013234452_bib6",Daniels (2000),Daniels,"Vibrio parahaemolyticus infections in the United States, 1973–1998",2000
5782,"key
				20171013234452_bib7",Scallan (2011),Scallan,Foodborne illness acquired in the United States—major pathogens,2011
5783,"key
				20171013234452_bib8",Vezzulli (2011),Vezzulli,Long-term effects of ocean warming on the prokaryotic community: evidence from the vibrios,2011
5784,"key
				20171013234452_bib9",Centers for Disease Control and Prevention (CDC) (2011),Centers for Disease Control and Prevention (CDC),"{'key': 'key\n\t\t\t\t20171013234452_bib9', 'author': 'Centers for Disease Control and Prevention (CDC)', 'year': '2011', 'volume-title': 'Cholera and other vibrio illness surveillance (COVIS), summary data, 2008'}",2011
5785,"key
				20171013234452_bib10",Daniels (2000),Daniels,Review of pathogenic Vibrio infections for clinicians,2000
5786,"key
				20171013234452_bib11",Daniels (2011),Daniels,Vibrio vulnificus oysters: pearls and perils,2011
5787,"key
				20171013234452_bib12",Matyas (2010),Matyas,"Preliminary FoodNet data on the incidence of infections with pathogens transmitted commonly through food—10 states, 2009",2010
5788,"key
				20171013234452_bib13",Ralston (2011),Ralston,An estimate of the cost of acute health effects from food- and water-borne marine pathogens and toxins in the USA,2011
5789,"key
				20171013234452_bib14",Depaola (2009),Depaola,Survey of postharvest-processed oysters in the United States for levels of Vibrio vulnificus and Vibrio parahaemolyticus,2009
5790,10.1093/cid/cis208,Ong et al (2012),"Ong K.L., Apostal M., Comstock N., Hurd S., Webb T.H., Mickelson S., Scheftel J., Smith G., Shiferaw B., Boothe E., Gould L.H.","Strategies for Surveillance of Pediatric Hemolytic Uremic Syndrome: Foodborne Diseases Active Surveillance Network (FoodNet), 2000-2007",2012
5791,1_5725029,Mahon (1997),Mahon,"{'issue': '3', 'key': '1_5725029', 'doi-asserted-by': 'crossref', 'first-page': '409', 'DOI': '10.3201/eid0303.970329', 'volume': '3', 'author': 'Mahon', 'year': '1997', 'journal-title': 'Emerging infectious diseases', 'ISSN': 'http://id.crossref.org/issn/1080-6040', 'issn-type': 'print'}",1997
5792,2_38263634,unknown4001 (2009),unknown4001,"{'issue': '10', 'key': '2_38263634', 'doi-asserted-by': 'publisher', 'first-page': '1480', 'DOI': '10.1086/644621', 'volume': '49', 'year': '2009', 'journal-title': 'Clinical Infectious Diseases', 'ISSN': 'http://id.crossref.org/issn/1058-4838', 'issn-type': 'print'}",2009
5793,4_39061498,Scallan (2011),Scallan,"{'issue': '1', 'key': '4_39061498', 'doi-asserted-by': 'crossref', 'first-page': '7', 'DOI': '10.3201/eid1701.P11101', 'volume': '17', 'author': 'Scallan', 'year': '2011', 'journal-title': 'Emerging infectious diseases', 'ISSN': 'http://id.crossref.org/issn/1080-6040', 'issn-type': 'print'}",2011
5794,6_18896877,Ake (2005),Ake,"{'issue': '6', 'key': '6_18896877', 'doi-asserted-by': 'publisher', 'first-page': 'e673', 'DOI': '10.1542/peds.2004-2236', 'volume': '115', 'author': 'Ake', 'year': '2005', 'journal-title': 'Pediatrics', 'ISSN': 'http://id.crossref.org/issn/0031-4005', 'issn-type': 'print'}",2005
5795,8_21507010,Griffin (1991),Griffin,"{'issue': '1', 'key': '8_21507010', 'doi-asserted-by': 'crossref', 'first-page': '60', 'DOI': '10.1093/oxfordjournals.epirev.a036079', 'volume': '13', 'author': 'Griffin', 'year': '1991', 'journal-title': 'Epidemiologic Reviews', 'ISSN': 'http://id.crossref.org/issn/0193-936X', 'issn-type': 'print'}",1991
5796,12_38538568,unknown4005 (2001),unknown4005,"{'issue': '7', 'key': '12_38538568', 'doi-asserted-by': 'publisher', 'first-page': '1063', 'DOI': '10.1086/319269', 'volume': '183', 'year': '2001', 'journal-title': 'Journal of Infectious Diseases', 'ISSN': 'http://id.crossref.org/issn/0022-1899', 'issn-type': 'print'}",2001
5797,15_11248653,Koutsavlis (2001),Koutsavlis,"{'issue': '2', 'key': '15_11248653', 'doi-asserted-by': 'publisher', 'first-page': '59', 'DOI': '10.1016/S1201-9712(01)90026-8', 'volume': '5', 'author': 'Koutsavlis', 'year': '2001', 'journal-title': 'International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases', 'ISSN': 'http://id.crossref.org/issn/1201-9712', 'issn-type': 'print'}",2001
5798,17_35443527,Pomajzl (2009),Pomajzl,"{'issue': '12', 'key': '17_35443527', 'doi-asserted-by': 'publisher', 'first-page': '1431', 'DOI': '10.1007/s10096-009-0800-y', 'volume': '28', 'author': 'Pomajzl', 'year': '2009', 'journal-title': 'European journal of clinical microbiology &amp; infectious diseases : official publication of the European Society of Clinical Microbiology', 'ISSN': 'http://id.crossref.org/issn/0934-9723', 'issn-type': 'print'}",2009
5799,18_29212038,unknown4008 (1997),unknown4008,"{'key': '18_29212038', 'ISSN': 'http://id.crossref.org/issn/0031-4005', 'issn-type': 'print', 'volume': '100', 'first-page': 'E12', 'year': '1997', 'journal-title': 'Pediatrics', 'DOI': '10.1542/peds.100.1.e12', 'doi-asserted-by': 'crossref'}",1997
5800,19_15523791,Siegler (1994),Siegler,"{'issue': '1', 'key': '19_15523791', 'first-page': '35', 'volume': '94', 'author': 'Siegler', 'year': '1994', 'journal-title': 'Pediatrics', 'ISSN': 'http://id.crossref.org/issn/0031-4005', 'issn-type': 'print'}",1994
5801,20_9191396,Martin (1990),Martin,"{'issue': '17', 'key': '20_9191396', 'doi-asserted-by': 'crossref', 'first-page': '1161', 'DOI': '10.1056/NEJM199010253231703', 'volume': '323', 'author': 'Martin', 'year': '1990', 'journal-title': 'New England Journal of Medicine', 'ISSN': 'http://id.crossref.org/issn/0028-4793', 'issn-type': 'print'}",1990
5802,21_14188199,Tarr (1987),Tarr,"{'issue': '1', 'key': '21_14188199', 'first-page': '41', 'volume': '80', 'author': 'Tarr', 'year': '1987', 'journal-title': 'Pediatrics', 'ISSN': 'http://id.crossref.org/issn/0031-4005', 'issn-type': 'print'}",1987
5803,10.1093/cid/cis257,Scallan E & Mahon (2012),"Scallan E., Mahon B.E.",Foodborne diseases active surveillance network (FoodNet) in 2012: A foundation for food safety in the United States,2012
5804,"key
				20171013233900_bib1",Scallan (2011),Scallan,Foodborne illness acquired in the United States–major pathogens,2011
5805,"key
				20171013233900_bib2",Scallan (2007),Scallan,"Activities, achievements, and lessons learned during the first 10 years of the Foodborne Diseases Active Surveillance Network: 1996–2005",2007
5806,"key
				20171013233900_bib3",Jones (2007),Jones,FoodNet: overview of a decade of achievement,2007
5807,"key
				20171013233900_bib4",unknown4013 (1900),unknown4013,{'key': 'key\n\t\t\t\t20171013233900_bib4'},1900
5808,"key
				20171013233900_bib5",unknown4014 (1900),unknown4014,{'key': 'key\n\t\t\t\t20171013233900_bib5'},1900
5809,"key
				20171013233900_bib6",unknown4015 (1900),unknown4015,{'key': 'key\n\t\t\t\t20171013233900_bib6'},1900
5810,"key
				20171013233900_bib7",unknown4016 (1900),unknown4016,{'key': 'key\n\t\t\t\t20171013233900_bib7'},1900
5811,"key
				20171013233900_bib8",unknown4017 (1900),unknown4017,{'key': 'key\n\t\t\t\t20171013233900_bib8'},1900
5812,"key
				20171013233900_bib9",unknown4018 (1900),unknown4018,{'key': 'key\n\t\t\t\t20171013233900_bib9'},1900
5813,"key
				20171013233900_bib10",unknown4019 (1900),unknown4019,{'key': 'key\n\t\t\t\t20171013233900_bib10'},1900
5814,"key
				20171013233900_bib11",unknown40110 (1900),unknown40110,{'key': 'key\n\t\t\t\t20171013233900_bib11'},1900
5815,"key
				20171013233900_bib12",unknown40111 (1900),unknown40111,{'key': 'key\n\t\t\t\t20171013233900_bib12'},1900
5816,"key
				20171013233900_bib13",unknown40112 (1900),unknown40112,{'key': 'key\n\t\t\t\t20171013233900_bib13'},1900
5817,"key
				20171013233900_bib14",unknown40113 (1900),unknown40113,{'key': 'key\n\t\t\t\t20171013233900_bib14'},1900
5818,"key
				20171013233900_bib15",unknown40114 (1900),unknown40114,{'key': 'key\n\t\t\t\t20171013233900_bib15'},1900
5819,"key
				20171013233900_bib16",unknown40115 (1900),unknown40115,{'key': 'key\n\t\t\t\t20171013233900_bib16'},1900
5820,"key
				20171013233900_bib17",unknown40116 (1900),unknown40116,{'key': 'key\n\t\t\t\t20171013233900_bib17'},1900
5821,"key
				20171013233900_bib18",unknown40117 (1900),unknown40117,{'key': 'key\n\t\t\t\t20171013233900_bib18'},1900
5822,"key
				20171013233900_bib19",unknown40118 (1900),unknown40118,{'key': 'key\n\t\t\t\t20171013233900_bib19'},1900
5823,"key
				20171013233900_bib20",unknown40119 (1900),unknown40119,{'key': 'key\n\t\t\t\t20171013233900_bib20'},1900
5824,"key
				20171013233900_bib21",unknown40120 (1900),unknown40120,{'key': 'key\n\t\t\t\t20171013233900_bib21'},1900
5825,10.1093/cid/cis244,Henao et al (2012),"Henao O.L., Crim S.M., Hoekstra R.M.","Calculating a measure of overall change in the incidence of selected laboratory-confirmed infections with pathogens transmitted commonly through food in the foodborne diseases active surveillance network (foodnet), 1996-2010",2012
5826,"key
				20171013233849_bib1",Jones (2007),Jones,FoodNet: overview of a decade of achievement,2007
5827,"key
				20171013233849_bib2",Scallan (2007),Scallan,"Activities, achievements, and lessons learned during the first 10 years of the Foodborne Diseases Active Surveillance Network: 1996–2005",2007
5828,"key
				20171013233849_bib3",Hardnett (2004),Hardnett,Epidemiologic issues in study design and data analysis related to FoodNet activities,2004
5829,"key
				20171013233849_bib4",Henao (2010),Henao,Methods for monitoring trends in the incidence of foodborne diseases: Foodborne Diseases Active Surveillance Network 1996–2008,2010
5830,"key
				20171013233849_bib5",unknown4024 (2011),unknown4024,"Centers for Disease Control and Prevention. Vital signs: incidence and trends of infection with pathogens transmitted commonly through food–foodborne diseases active surveillance network, 10 U.S. sites, 1996–2010",2011
5831,"key
				20171013233849_bib6",Scallan (2011),Scallan,Foodborne illness acquired in the United States—major pathogens,2011
5832,10.1093/aje/kws194,Nelson (2012),Nelson K.E.,Invited commentary: Influenza vaccine and guillain-barré syndrome-is there a risk?,2012
5833,1_36002346,Echevarria-Zuno (2009),Echevarria-Zuno,"{'issue': '9707', 'key': '1_36002346', 'doi-asserted-by': 'publisher', 'first-page': '2072', 'DOI': '10.1016/S0140-6736(09)61638-X', 'volume': '374', 'author': 'Echevarria-Zuno', 'year': '2009', 'journal-title': 'Lancet', 'ISSN': 'http://id.crossref.org/issn/0140-6736', 'issn-type': 'print'}",2009
5834,2_34774199,unknown4031 (2009),unknown4031,"{'issue': '25', 'key': '2_34774199', 'doi-asserted-by': 'publisher', 'first-page': '2605', 'DOI': '10.1056/NEJMoa0903810', 'volume': '360', 'year': '2009', 'journal-title': 'New England Journal of Medicine', 'ISSN': 'http://id.crossref.org/issn/0028-4793', 'issn-type': 'print'}",2009
5835,3_34770327,unknown4032 (2009),unknown4032,"{'issue': '25', 'key': '3_34770327', 'doi-asserted-by': 'publisher', 'first-page': '2616', 'DOI': '10.1056/NEJMoa0903812', 'volume': '360', 'year': '2009', 'journal-title': 'New England Journal of Medicine', 'ISSN': 'http://id.crossref.org/issn/0028-4793', 'issn-type': 'print'}",2009
5836,4_36224090,Lessler (2009),Lessler,"{'issue': '27', 'key': '4_36224090', 'doi-asserted-by': 'publisher', 'first-page': '2628', 'DOI': '10.1056/NEJMoa0906089', 'volume': '361', 'author': 'Lessler', 'year': '2009', 'journal-title': 'New England Journal of Medicine', 'ISSN': 'http://id.crossref.org/issn/0028-4793', 'issn-type': 'print'}",2009
5837,5_36799945,unknown4034 (2010),unknown4034,"{'issue': 'RR-12', 'key': '5_36799945', 'first-page': '1', 'volume': '59', 'year': '2010', 'journal-title': 'MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control', 'ISSN': 'http://id.crossref.org/issn/1057-5987', 'issn-type': 'print'}",2010
5838,6_41469992,unknown4035 (2012),unknown4035,"{'key': '6_41469992', 'ISSN': 'http://id.crossref.org/issn/0002-9262', 'issn-type': 'print', 'volume': '000', 'first-page': '000', 'year': '2012', 'journal-title': 'American Journal of Epidemiology'}",2012
5839,7_41469992,unknown4036 (2012),unknown4036,"{'key': '7_41469992', 'ISSN': 'http://id.crossref.org/issn/0002-9262', 'issn-type': 'print', 'volume': '000', 'first-page': '000', 'year': '2012', 'journal-title': 'American Journal of Epidemiology'}",2012
5840,8_41469992,unknown4037 (2012),unknown4037,"{'key': '8_41469992', 'ISSN': 'http://id.crossref.org/issn/0002-9262', 'issn-type': 'print', 'volume': '000', 'first-page': '000', 'year': '2012', 'journal-title': 'American Journal of Epidemiology'}",2012
5841,9_38743229,unknown4038 (1977),unknown4038,"{'issue': 'Supplement_3', 'key': '9_38743229', 'doi-asserted-by': 'publisher', 'first-page': 'S381', 'DOI': '10.1093/infdis/136.Supplement_3.S381', 'volume': '136', 'year': '1977', 'journal-title': 'Journal of Infectious Diseases', 'ISSN': 'http://id.crossref.org/issn/0022-1899', 'issn-type': 'print'}",1977
5842,10_38743226,unknown4039 (1977),unknown4039,"{'issue': 'Supplement_3', 'key': '10_38743226', 'doi-asserted-by': 'publisher', 'first-page': 'S376', 'DOI': '10.1093/infdis/136.Supplement_3.S376', 'volume': '136', 'year': '1977', 'journal-title': 'Journal of Infectious Diseases', 'ISSN': 'http://id.crossref.org/issn/0022-1899', 'issn-type': 'print'}",1977
5843,12_7897700,SCHONBERGER (1979),SCHONBERGER,"{'issue': '2', 'key': '12_7897700', 'doi-asserted-by': 'crossref', 'first-page': '105', 'DOI': '10.1093/oxfordjournals.aje.a112795', 'volume': '110', 'author': 'SCHONBERGER', 'year': '1979', 'journal-title': 'American Journal of Epidemiology', 'ISSN': 'http://id.crossref.org/issn/0002-9262', 'issn-type': 'print'}",1979
5844,13_13238009,LANGMUIR (1984),LANGMUIR,"{'issue': '6', 'key': '13_13238009', 'doi-asserted-by': 'crossref', 'first-page': '841', 'DOI': '10.1093/oxfordjournals.aje.a113809', 'volume': '119', 'author': 'LANGMUIR', 'year': '1984', 'journal-title': 'American Journal of Epidemiology', 'ISSN': 'http://id.crossref.org/issn/0002-9262', 'issn-type': 'print'}",1984
5845,14_6255558,Lasky (1998),Lasky,"{'issue': '25', 'key': '14_6255558', 'doi-asserted-by': 'publisher', 'first-page': '1797', 'DOI': '10.1056/NEJM199812173392501', 'volume': '339', 'author': 'Lasky', 'year': '1998', 'journal-title': 'New England Journal of Medicine', 'ISSN': 'http://id.crossref.org/issn/0028-4793', 'issn-type': 'print'}",1998
5846,15_22940819,Juurlink (2006),Juurlink,"{'issue': '20', 'key': '15_22940819', 'doi-asserted-by': 'publisher', 'first-page': '2217', 'DOI': '10.1001/archinte.166.20.2217', 'volume': '166', 'author': 'Juurlink', 'year': '2006', 'journal-title': 'Archives of Internal Medicine', 'ISSN': 'http://id.crossref.org/issn/0003-9926', 'issn-type': 'print'}",2006
5847,16_32704831,unknown40314 (2009),unknown40314,"{'issue': '3', 'key': '16_32704831', 'doi-asserted-by': 'publisher', 'first-page': '382', 'DOI': '10.1093/aje/kwn310', 'volume': '169', 'year': '2009', 'journal-title': 'American Journal of Epidemiology', 'ISSN': 'http://id.crossref.org/issn/0002-9262', 'issn-type': 'print'}",2009
5848,17_9452039,Roscelli (1991),Roscelli,"{'issue': '9', 'key': '17_9452039', 'doi-asserted-by': 'crossref', 'first-page': '952', 'DOI': '10.1093/oxfordjournals.aje.a115974', 'volume': '133', 'author': 'Roscelli', 'year': '1991', 'journal-title': 'American Journal of Epidemiology', 'ISSN': 'http://id.crossref.org/issn/0002-9262', 'issn-type': 'print'}",1991
5849,18_22276553,Hughes (2006),Hughes,"{'issue': '12', 'key': '18_22276553', 'doi-asserted-by': 'publisher', 'first-page': '1301', 'DOI': '10.1001/archinte.166.12.1301', 'volume': '166', 'author': 'Hughes', 'year': '2006', 'journal-title': 'Archives of Internal Medicine', 'ISSN': 'http://id.crossref.org/issn/0003-9926', 'issn-type': 'print'}",2006
5850,19_18537342,Haber (2004),Haber,"{'issue': '20', 'key': '19_18537342', 'doi-asserted-by': 'publisher', 'first-page': '2478', 'DOI': '10.1001/jama.292.20.2478', 'volume': '292', 'author': 'Haber', 'year': '2004', 'journal-title': 'JAMA', 'ISSN': 'http://id.crossref.org/issn/0098-7484', 'issn-type': 'print'}",2004
5851,20_16055801,Rees (1995),Rees,"{'issue': '21', 'key': '20_16055801', 'doi-asserted-by': 'publisher', 'first-page': '1374', 'DOI': '10.1056/NEJM199511233332102', 'volume': '333', 'author': 'Rees', 'year': '1995', 'journal-title': 'New England Journal of Medicine', 'ISSN': 'http://id.crossref.org/issn/0028-4793', 'issn-type': 'print'}",1995
5852,21_38778660,unknown40319 (1997),unknown40319,"{'issue': 'Supplement_2', 'key': '21_38778660', 'doi-asserted-by': 'publisher', 'first-page': 'S150', 'DOI': '10.1086/513800', 'volume': '176', 'year': '1997', 'journal-title': 'Journal of Infectious Diseases', 'ISSN': 'http://id.crossref.org/issn/0022-1899', 'issn-type': 'print'}",1997
5853,22_38778659,unknown40320 (1997),unknown40320,"{'issue': 'Supplement_2', 'key': '22_38778659', 'doi-asserted-by': 'publisher', 'first-page': 'S144', 'DOI': '10.1086/513799', 'volume': '176', 'year': '1997', 'journal-title': 'Journal of Infectious Diseases', 'ISSN': 'http://id.crossref.org/issn/0022-1899', 'issn-type': 'print'}",1997
5854,23_16679541,unknown40321 (1997),unknown40321,"{'issue': '9047', 'key': '23_16679541', 'doi-asserted-by': 'publisher', 'first-page': '225', 'DOI': '10.1016/S0140-6736(96)09095-2', 'volume': '349', 'year': '1997', 'journal-title': 'Lancet', 'ISSN': 'http://id.crossref.org/issn/0140-6736', 'issn-type': 'print'}",1997
5855,24_38502119,unknown40322 (2008),unknown40322,"{'issue': '2', 'key': '24_38502119', 'doi-asserted-by': 'publisher', 'first-page': '226', 'DOI': '10.1086/589624', 'volume': '198', 'year': '2008', 'journal-title': 'Journal of Infectious Diseases', 'ISSN': 'http://id.crossref.org/issn/0022-1899', 'issn-type': 'print'}",2008
5856,25_38019078,Lehmann (2010),Lehmann,"{'issue': '9', 'key': '25_38019078', 'doi-asserted-by': 'publisher', 'first-page': '643', 'DOI': '10.1016/S1473-3099(10)70140-7', 'volume': '10', 'author': 'Lehmann', 'year': '2010', 'journal-title': 'The Lancet infectious diseases', 'ISSN': 'http://id.crossref.org/issn/1473-3099', 'issn-type': 'print'}",2010
5857,26_28302648,Tam (2007),Tam,"{'issue': '4', 'key': '26_28302648', 'doi-asserted-by': 'publisher', 'first-page': 'e344', 'DOI': '10.1371/journal.pone.0000344', 'volume': '2', 'author': 'Tam', 'year': '2007', 'ISSN': 'http://id.crossref.org/issn/1932-6203', 'issn-type': 'print'}",2007
5858,27_41112582,Osterholm (2012),Osterholm,"{'issue': '1', 'key': '27_41112582', 'doi-asserted-by': 'publisher', 'first-page': '36', 'DOI': '10.1016/S1473-3099(11)70295-X', 'volume': '12', 'author': 'Osterholm', 'year': '2012', 'journal-title': 'The Lancet infectious diseases', 'ISSN': 'http://id.crossref.org/issn/1473-3099', 'issn-type': 'print'}",2012
